timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
12494361,1.89271e-05,3.7343e-05,-0.00195476,0.99989,1.84861e-05,-2.4947e-05,-0.0148195,1.0,0.0,0.0,0.0,0
12521866,-8.87053e-05,-3.69399e-05,-0.00189733,0.999892,1.81573e-05,-2.52828e-05,-0.0147228,1.0,0.0,0.0,0.0,0
12554323,-5.44581e-05,-7.89149e-05,-0.00187025,0.999894,1.87959e-05,-2.54945e-05,-0.014587,1.0,0.0,0.0,0.0,0
12586831,-2.97829e-05,-0.000156324,-0.00175872,0.999895,1.91371e-05,-2.5944e-05,-0.0144637,1.0,0.0,0.0,0.0,0
12619370,5.0306e-05,-5.45491e-05,-0.00171369,0.999897,2.00866e-05,-2.54033e-05,-0.0143316,1.0,0.0,0.0,0.0,0
12649332,-6.32584e-06,-0.000155745,-0.00170157,0.999899,2.18083e-05,-2.45599e-05,-0.0142085,1.0,0.0,0.0,0.0,0
12681862,6.75644e-05,0.000151342,-0.0018037,0.999901,2.25495e-05,-2.37143e-05,-0.0140984,1.0,0.0,0.0,0.0,0
12714335,-9.13937e-05,2.31201e-05,-0.00174327,0.999902,2.28288e-05,-2.33515e-05,-0.0139759,1.0,0.0,0.0,0.0,0
12741872,-9.29392e-05,5.24021e-05,-0.00169483,0.999904,2.2269e-05,-2.3417e-05,-0.0138807,1.0,0.0,0.0,0.0,0
12776840,9.85593e-06,-3.3226e-05,-0.001634,0.999905,2.25159e-05,-2.3229e-05,-0.0137568,1.0,0.0,0.0,0.0,0
12806824,-0.000157548,0.000112547,-0.00160753,0.999907,2.22701e-05,-2.24842e-05,-0.0136308,1.0,0.0,0.0,0.0,0
12839350,1.69659e-05,-0.000112485,-0.00155117,0.999909,2.24969e-05,-2.20261e-05,-0.0135241,1.0,0.0,0.0,0.0,0
12871845,-3.8026e-05,0.000138184,-0.0015791,0.99991,2.30568e-05,-2.17238e-05,-0.0134041,1.0,0.0,0.0,0.0,0
12901825,5.38411e-05,0.000107559,-0.0014652,0.999912,2.41292e-05,-2.18814e-05,-0.0132973,1.0,0.0,0.0,0.0,0
12931808,2.86402e-05,6.9727e-06,-0.00147613,0.999913,2.46328e-05,-2.20489e-05,-0.0132002,1.0,0.0,0.0,0.0,0
12964352,7.50707e-05,-9.80058e-05,-0.0015715,0.999914,2.56627e-05,-2.23984e-05,-0.013091,1.0,0.0,0.0,0.0,0
12996831,-9.9527e-05,-9.75795e-06,-0.00149099,0.999916,2.47104e-05,-2.17101e-05,-0.0129768,1.0,0.0,0.0,0.0,0
13029310,-0.000111851,-1.99653e-05,-0.00146015,0.999917,2.49864e-05,-2.18399e-05,-0.0128676,1.0,0.0,0.0,0.0,0
13059317,0.00015615,-0.000184368,-0.00153637,0.999919,2.56798e-05,-2.25269e-05,-0.0127664,1.0,0.0,0.0,0.0,0
13089310,0.000134974,2.74698e-06,-0.00146543,0.99992,2.61838e-05,-2.12815e-05,-0.0126624,1.0,0.0,0.0,0.0,0
13124297,3.85653e-05,6.64001e-05,-0.00140525,0.999921,2.64267e-05,-2.05393e-05,-0.0125463,1.0,0.0,0.0,0.0,0
13154369,2.52672e-05,1.54365e-05,-0.00129594,0.999923,2.69918e-05,-2.04507e-05,-0.0124463,1.0,0.0,0.0,0.0,0
13186841,-2.64659e-05,2.69432e-06,-0.00138245,0.999924,2.6089e-05,-1.96063e-05,-0.012346,1.0,0.0,0.0,0.0,0
13216859,-7.75575e-05,2.67167e-05,-0.0014395,0.999925,2.70292e-05,-1.79124e-05,-0.0122394,1.0,0.0,0.0,0.0,0
13246854,-0.000101696,-4.92618e-05,-0.00133111,0.999926,2.68392e-05,-1.63886e-05,-0.012129,1.0,0.0,0.0,0.0,0
13281797,-2.37237e-05,5.47169e-06,-0.00115787,0.999928,2.73925e-05,-1.45419e-05,-0.0120224,1.0,0.0,0.0,0.0,0
13311858,7.6521e-05,-4.96005e-05,-0.00118255,0.999929,2.80806e-05,-1.21814e-05,-0.0119125,1.0,0.0,0.0,0.0,0
13344361,2.00067e-05,0.00010906,-0.00120108,0.99993,2.94804e-05,-1.01606e-05,-0.0118029,1.0,0.0,0.0,0.0,0
13374338,-7.42487e-06,0.000117575,-0.0012083,0.999931,3.02905e-05,-7.85962e-06,-0.0117071,1.0,0.0,0.0,0.0,0
13403947,-5.35449e-05,-8.8627e-05,-0.0011696,0.999933,3.09277e-05,-5.75771e-06,-0.0116118,1.0,0.0,0.0,0.0,0
13438948,-8.56118e-07,0.000185912,-0.00124501,0.999934,3.19611e-05,-4.08602e-06,-0.0114946,1.0,0.0,0.0,0.0,0
13468883,3.81215e-05,2.32372e-05,-0.0012125,0.999935,3.23124e-05,-1.89581e-06,-0.0114071,1.0,0.0,0.0,0.0,0
13500452,-1.32184e-05,-4.86508e-05,-0.0010775,0.999936,3.18393e-05,-6.2462e-08,-0.0112975,1.0,0.0,0.0,0.0,0
13530434,8.29292e-06,-1.8855e-05,-0.00108614,0.999937,3.08658e-05,9.19369e-07,-0.0112044,1.0,0.0,0.0,0.0,0
13565490,-1.33478e-06,-0.000107688,-0.00107133,0.999938,3.06466e-05,2.74186e-06,-0.0111076,1.0,0.0,0.0,0.0,0
13595478,4.02635e-05,0.000128587,-0.00101202,0.99994,2.96427e-05,2.59528e-06,-0.011005,1.0,0.0,0.0,0.0,0
13627947,-2.40237e-05,3.44465e-05,-0.00106019,0.99994,2.84114e-05,2.61294e-06,-0.0109209,1.0,0.0,0.0,0.0,0
13657974,-2.45416e-05,5.82104e-05,-0.00118805,0.999941,2.79252e-05,2.57624e-06,-0.0108286,1.0,0.0,0.0,0.0,0
13690466,5.58831e-05,2.01827e-05,-0.00105834,0.999943,2.74631e-05,1.32298e-06,-0.0107201,1.0,0.0,0.0,0.0,0
13722991,0.000101899,6.52679e-05,-0.00104205,0.999943,2.74202e-05,4.64651e-07,-0.0106377,1.0,0.0,0.0,0.0,0
13750451,-5.45207e-05,1.82685e-05,-0.00101878,0.999944,2.75264e-05,-7.55299e-07,-0.0105482,1.0,0.0,0.0,0.0,0
13782962,-5.89711e-05,-9.16301e-05,-0.000863443,0.999946,2.69469e-05,-2.3383e-06,-0.0104372,1.0,0.0,0.0,0.0,0
13815469,4.98428e-05,-1.40936e-05,-0.00100688,0.999946,2.6353e-05,-3.25077e-06,-0.0103452,1.0,0.0,0.0,0.0,0
13847945,-6.92433e-05,1.6627e-05,-0.00106733,0.999947,2.6084e-05,-4.10211e-06,-0.0102592,1.0,0.0,0.0,0.0,0
13877752,5.8532e-05,-0.000124953,-0.000851607,0.999948,2.53559e-05,-5.67155e-06,-0.0101607,1.0,0.0,0.0,0.0,0
13910233,4.26409e-05,-5.35587e-06,-0.000994314,0.999949,2.55946e-05,-6.48646e-06,-0.0100738,1.0,0.0,0.0,0.0,0
13940273,-5.93744e-05,-0.000141611,-0.000854418,0.99995,2.6152e-05,-7.74276e-06,-0.00997354,1.0,0.0,0.0,0.0,0
13972835,-3.24162e-05,8.57832e-06,-0.000960769,0.999951,2.63363e-05,-8.54946e-06,-0.00989689,1.0,0.0,0.0,0.0,0
