timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
13104524,10198696,47.397742,8.545594,0.0574594,-0.00443846,-0.00117167,6.21086e-05,-9.81325e-05,0.0,0.00379472,0.00112244,-0.0609088,-0.0602149,0.000130135,-0.000186313,-0.000162825,0.00110232,0.00131895,-1.94368,-0.0254216,487.998,0.101601,0.0609088,0.211171,0.632291,0.193582,0.167235,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
14969533,10198696,47.397742,8.545594,0.0556748,-0.00420302,-2.20889,6.21086e-05,-9.81325e-05,0.0,0.000839241,0.00136929,-0.649815,-0.571537,0.000130135,-0.000186313,-0.000162825,-0.00010094,0.000927376,0.634573,-0.0161504,487.998,2.30932,0.649815,0.206296,0.570965,0.160688,0.164468,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
15074541,10198696,47.397742,8.545594,0.0558716,-0.00408619,-2.25351,6.21086e-05,-9.81325e-05,0.0,0.00089769,0.00144128,-0.579083,-0.491934,0.000130135,-0.000186313,-0.000162825,2.9268e-05,0.000874906,0.577541,-0.015753,487.998,2.35394,0.579083,0.206175,0.568596,0.159687,0.16398,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
15172020,10198696,47.397742,8.545594,0.0558832,-0.00407391,-2.28945,6.21086e-05,-9.81325e-05,0.0,0.000854123,0.00145273,-0.519018,-0.426175,0.000130135,-0.000186313,-0.000162825,4.60346e-05,0.000941358,0.516116,-0.0153911,487.998,2.38988,0.519018,0.206681,0.566805,0.159447,0.163594,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
15277089,10198696,47.397742,8.545594,0.0559464,-0.00392059,-2.32554,6.21086e-05,-9.81325e-05,0.0,0.000840675,0.00154665,-0.461849,-0.366012,0.000130135,-0.000186313,-0.000162825,0.000198033,0.00165438,0.468754,-0.0149897,487.998,2.42597,0.461849,0.206583,0.56828,0.158796,0.163465,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
15379525,10198696,47.397742,8.545594,0.0559111,-0.00368948,-2.35732,6.21086e-05,-9.81325e-05,0.0,0.000774594,0.00167544,-0.411453,-0.315026,0.000130135,-0.000186313,-0.000162825,2.35647e-05,0.000960052,0.431991,-0.0146087,487.998,2.45775,0.411453,0.206491,0.566163,0.158237,0.162928,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
15479560,10198696,47.397742,8.545594,0.055936,-0.0034192,-2.38614,6.21086e-05,-9.81325e-05,0.0,0.000744499,0.00181512,-0.366261,-0.271058,0.000130135,-0.000186313,-0.000162825,-7.68366e-05,0.00143109,0.398002,-0.0142377,487.998,2.48657,0.366261,0.205529,0.5634,0.157245,0.162076,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
15582028,10198696,47.397742,8.545594,0.0558239,-0.00309985,-2.41174,6.21086e-05,-9.81325e-05,0.0,-0.00268466,0.00201324,-0.283174,-0.19073,0.000130135,-0.000186313,-0.000162825,-0.20335,0.00377966,2.31219,-0.0138966,487.998,2.51217,0.283174,0.206028,0.561942,0.157398,0.16164,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
15679520,10198696,47.397742,8.545594,0.0562996,-0.00279148,-2.41878,6.21086e-05,-9.81325e-05,0.0,0.0565672,0.00132885,-0.0336347,0.0559265,0.000130135,-0.000186313,-0.000162825,2.216,-0.0294464,1.8238,-0.0135442,487.998,2.51921,0.0336347,0.205105,0.55933,0.156527,0.160766,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
15784531,10198696,47.397742,8.545594,0.0798208,-0.00275461,-2.40251,6.21086e-05,-9.81325e-05,0.0,0.403692,-0.00325969,0.0925162,0.183519,0.000130135,-0.000186313,-0.000162825,3.367,-0.0449639,0.829278,-0.0131715,487.998,2.50294,-0.0925162,0.205351,0.557757,0.155888,0.160249,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
15887021,10198696,47.397742,8.545594,0.13711,-0.00312579,-2.37334,6.21086e-05,-9.81325e-05,0.0,0.665423,-0.00661851,0.111776,0.208799,0.000130135,-0.000186313,-0.000162825,1.85659,-0.0242304,-0.697307,-0.0128951,487.998,2.47376,-0.111776,0.205003,0.5593,0.155637,0.157728,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
15987043,10198696,47.397742,8.545594,0.218038,-0.00375623,-2.35483,6.21086e-05,-9.81325e-05,0.0,0.813556,-0.00808981,0.0177369,0.114717,0.000130135,-0.000186313,-0.000162825,1.17053,-0.0130828,-0.772692,-0.0126274,487.998,2.45525,-0.0177369,0.205581,0.558091,0.158768,0.155171,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
16092032,10198696,47.397742,8.545594,0.324518,-0.00455946,-2.35581,6.21086e-05,-9.81325e-05,0.0,0.932899,-0.00868026,0.00414058,0.0879636,0.000130135,-0.000186313,-0.000162825,0.835101,-0.00767446,0.313439,-0.0122695,487.998,2.45624,-0.00414058,0.205668,0.556448,0.164265,0.1528,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
16194289,10198696,47.397742,8.545594,0.440659,-0.0051744,-2.36374,6.21086e-05,-9.81325e-05,0.0,1.01165,-0.00841122,0.0279327,0.0920977,0.000130135,-0.000186313,-0.000162825,0.418913,-0.000858554,0.0840508,-0.011855,487.998,2.46417,-0.0279327,0.205796,0.554854,0.171256,0.150658,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
16296796,10198696,47.397742,8.545594,0.563324,-0.0055151,-2.37662,6.21086e-05,-9.81325e-05,0.0,1.05241,-0.00743072,0.0139149,0.0555945,0.000130135,-0.000186313,-0.000162825,0.134169,0.00314576,-0.141969,-0.0113785,487.998,2.47705,-0.0139149,0.206036,0.553287,0.178071,0.14874,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
16396760,10198696,47.397742,8.545594,0.68385,-0.00572865,-2.39456,6.21086e-05,-9.81325e-05,0.0,1.06914,-0.00623164,0.000164457,0.0193218,0.000130135,-0.000186313,-0.000162825,-0.0150212,0.00515553,0.0136229,-0.010919,487.998,2.49498,-0.000164457,0.205512,0.551069,0.183952,0.146872,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
16499304,10198696,47.397742,8.545594,0.806915,-0.00575372,-2.41829,6.21086e-05,-9.81325e-05,0.0,1.07195,-0.00485436,-0.00276461,-0.00843706,0.000130135,-0.000186313,-0.000162825,-0.109147,0.0064528,0.0719682,-0.0104835,487.998,2.51871,0.00276461,0.20655,0.550013,0.19179,0.145426,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
16599304,10198696,47.397742,8.545594,0.923447,-0.00554636,-2.44282,6.21086e-05,-9.81325e-05,0.0,1.06443,-0.0034899,-0.00507742,-0.0332223,0.000130135,-0.000186313,-0.000162825,-0.149275,0.00673097,0.0675741,-0.0100512,487.998,2.54325,0.00507742,0.206241,0.551227,0.197195,0.144181,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
16699278,10198696,47.397742,8.545594,1.03653,-0.00513626,-2.46905,6.21086e-05,-9.81325e-05,0.0,1.05238,-0.00216238,-0.00692294,-0.0562396,0.000130135,-0.000186313,-0.000162825,-0.149126,0.00579083,0.085069,-0.00963772,487.998,2.56948,0.00692294,0.206317,0.54935,0.202312,0.142894,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
16804301,10198696,47.397742,8.545594,1.15146,-0.00462389,-2.49954,6.21086e-05,-9.81325e-05,0.0,1.03913,-0.000913788,-0.0081139,-0.0789368,0.000130135,-0.000186313,-0.000162825,-0.114501,0.00589373,0.0994587,-0.00919866,487.998,2.59997,0.0081139,0.208019,0.548555,0.208795,0.141974,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
16904300,10198696,47.397742,8.545594,1.25664,-0.00431108,-2.5256,6.21086e-05,-9.81325e-05,0.0,1.02724,-4.67e-05,-0.00735976,-0.0942406,0.000130135,-0.000186313,-0.000162825,-0.0822982,0.00475735,0.0964137,-0.00882341,487.998,2.62603,0.00735976,0.208578,0.546936,0.212613,0.141024,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
17006754,10198696,47.397742,8.545594,1.36157,-0.00406491,-2.55234,6.21086e-05,-9.81325e-05,0.0,1.01694,0.0006429,-0.00701874,-0.108068,0.000130135,-0.000186313,-0.000162825,-0.0493499,0.00437791,0.094374,-0.0084741,487.998,2.65277,0.00701874,0.209182,0.545345,0.215844,0.140144,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
17104284,10198696,47.397742,8.545594,1.45902,-0.00378702,-2.57638,6.21086e-05,-9.81325e-05,0.0,1.00923,0.00120569,-0.00614289,-0.117957,0.000130135,-0.000186313,-0.000162825,-0.0229612,0.00422754,0.0947763,-0.00809918,487.998,2.67681,0.00614289,0.210157,0.543987,0.218296,0.139537,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
17209236,10198696,47.397742,8.545594,1.56201,-0.00337899,-2.60077,6.21086e-05,-9.81325e-05,0.0,1.00347,0.0017585,-0.00500337,-0.125835,0.000130135,-0.000186313,-0.000162825,0.00597271,0.00335848,0.0878687,-0.0077448,487.998,2.7012,0.00500337,0.211072,0.542647,0.220186,0.139058,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
17311779,10198696,47.397742,8.545594,1.66147,-0.00304977,-2.62366,6.21086e-05,-9.81325e-05,0.0,1.00016,0.00214469,-0.004204,-0.13187,0.000130135,-0.000186313,-0.000162825,0.0197046,0.00365014,0.0838866,-0.00738922,487.998,2.72409,0.004204,0.211626,0.544336,0.220939,0.138801,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
17411766,10198696,47.397742,8.545594,1.75812,-0.00275714,-2.6456,6.21086e-05,-9.81325e-05,0.0,0.998803,0.0024283,-0.00388843,-0.136837,0.000130135,-0.000186313,-0.000162825,0.0367354,0.00298015,0.077223,-0.0070659,487.998,2.74603,0.00388843,0.212971,0.543223,0.221796,0.138534,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
17514290,10198696,47.397742,8.545594,1.85737,-0.00240943,-2.66475,6.21086e-05,-9.81325e-05,0.0,0.999076,0.0027041,-0.00266956,-0.138985,0.000130135,-0.000186313,-0.000162825,0.0360368,0.00322605,0.0749289,-0.0067341,487.998,2.76517,0.00266956,0.213465,0.541729,0.221085,0.138219,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
17614267,10198696,47.397742,8.545594,1.95397,-0.00217388,-2.68417,6.21086e-05,-9.81325e-05,0.0,0.999735,0.00284405,-0.00255918,-0.14111,0.000130135,-0.000186313,-0.000162825,0.0378519,0.00293565,0.0657691,-0.00642027,487.998,2.7846,0.00255918,0.213507,0.540063,0.219892,0.137899,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
17716784,10198696,47.397742,8.545594,2.05346,-0.00198537,-2.70284,6.21086e-05,-9.81325e-05,0.0,1.00098,0.00292124,-0.00231186,-0.142107,0.000130135,-0.000186313,-0.000162825,0.0337273,0.00293354,0.0657428,-0.00610811,487.998,2.80327,0.00231186,0.215406,0.53939,0.219747,0.138052,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
17819294,10198696,47.397742,8.545594,2.15366,-0.00174431,-2.72081,6.21086e-05,-9.81325e-05,0.0,1.00259,0.00300997,-0.00215109,-0.142522,0.000130135,-0.000186313,-0.000162825,0.0310068,0.00274269,0.0611398,-0.0057824,487.998,2.82124,0.00215109,0.215796,0.537967,0.21825,0.137958,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
17916765,10198696,47.397742,8.545594,2.24937,-0.00149228,-2.73655,6.21086e-05,-9.81325e-05,0.0,1.00408,0.0030938,-0.00176498,-0.141917,0.000130135,-0.000186313,-0.000162825,0.0277663,0.00242789,0.0606808,-0.00547802,487.998,2.83697,0.00176498,0.215339,0.539305,0.2157,0.13802,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
18019278,10198696,47.397742,8.545594,2.35033,-0.00122125,-2.75294,6.21086e-05,-9.81325e-05,0.0,1.00542,0.00316332,-0.00166248,-0.140972,0.000130135,-0.000186313,-0.000162825,0.0277088,0.00236891,0.0549644,-0.00517678,487.998,2.85337,0.00166248,0.216318,0.538294,0.214235,0.138209,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
18121773,10198696,47.397742,8.545594,2.45183,-0.00110494,-2.76721,6.21086e-05,-9.81325e-05,0.0,1.00665,0.00312161,-0.00125594,-0.139451,0.000130135,-0.000186313,-0.000162825,0.0227997,0.00210062,0.0522544,-0.00488351,487.998,2.86763,0.00125594,0.215797,0.536548,0.211453,0.138114,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
18221791,10198696,47.397742,8.545594,2.55104,-0.00122424,-2.78225,6.21086e-05,-9.81325e-05,0.0,1.00682,0.00291182,-0.00152239,-0.138014,0.000130135,-0.000186313,-0.000162825,0.00565572,0.0021187,0.0508272,-0.00459573,487.998,2.88268,0.00152239,0.216701,0.53558,0.209703,0.138348,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
18326765,10198696,47.397742,8.545594,2.65543,-0.00129987,-2.7966,6.21086e-05,-9.81325e-05,0.0,1.00618,0.00275276,-0.00145862,-0.135777,0.000130135,-0.000186313,-0.000162825,0.00234231,0.00186784,0.0479114,-0.00431088,487.998,2.89703,0.00145862,0.217831,0.534815,0.207946,0.138667,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
18426757,10198696,47.397742,8.545594,2.75503,-0.00127905,-2.80949,6.21086e-05,-9.81325e-05,0.0,1.0057,0.00266925,-0.00138691,-0.133681,0.000130135,-0.000186313,-0.000162825,0.00320857,0.00173457,0.0481546,-0.00404418,487.998,2.90992,0.00138691,0.216391,0.532779,0.204572,0.138557,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
18526778,10198696,47.397742,8.545594,2.8547,-0.00139525,-2.82277,6.21086e-05,-9.81325e-05,0.0,1.00533,0.00248825,-0.00141962,-0.131253,0.000130135,-0.000186313,-0.000162825,0.000414274,0.00160328,0.0473458,-0.00376862,487.998,2.9232,0.00141962,0.217774,0.532244,0.203031,0.139054,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
