timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
8340718,0.0,0.0,-0.0481419,0.0,0.99971,0.0,0.0,-0.0240686,0.0,-1.0,1,0,0,0,0,0,0
8443666,0.0,0.0,-0.0483937,0.0,0.999707,0.0,0.0,-0.0241945,0.0,-1.0,1,0,0,0,0,0,0
8545626,0.0,0.0,-0.0486458,0.0,0.999704,0.0,0.0,-0.0243205,0.0,-1.0,1,0,0,0,0,0,0
8647935,0.0,0.0,-0.0489119,0.0,0.999701,0.0,0.0,-0.0244535,0.0,-1.0,1,0,0,0,0,0,0
8747995,0.0,0.0,-0.0491148,0.0,0.999698,0.0,0.0,-0.0245549,0.0,-1.0,1,0,0,0,0,0,0
8847877,0.0,0.0,-0.0493015,0.0,0.999696,0.0,0.0,-0.0246482,0.0,-1.0,1,0,0,0,0,0,0
8950094,0.0,0.0,-0.0494743,0.0,0.999694,0.0,0.0,-0.0247346,0.0,-1.0,1,0,0,0,0,0,0
9050224,0.0,0.0,-0.0496694,0.0,0.999692,0.0,0.0,-0.0248322,0.0,-1.0,1,0,0,0,0,0,0
9155100,0.0,0.0,-0.0498662,0.0,0.999689,0.0,0.0,-0.0249305,0.0,-1.0,1,0,0,0,0,0,0
9252607,0.0,0.0,-0.0500266,0.0,0.999687,0.0,0.0,-0.0250107,0.0,-1.0,1,0,0,0,0,0,0
9357602,0.0,0.0,-0.0501682,0.0,0.999685,0.0,0.0,-0.0250815,0.0,-1.0,1,0,0,0,0,0,0
9457494,0.0,0.0,-0.0503027,0.0,0.999684,0.0,0.0,-0.0251487,0.0,-1.0,1,0,0,0,0,0,0
9557442,0.0,0.0,-0.0504666,0.0,0.999682,0.0,0.0,-0.0252306,0.0,-1.0,1,0,0,0,0,0,0
9662425,0.0,0.0,-0.0506317,0.0,0.99968,0.0,0.0,-0.0253131,0.0,-1.0,1,0,0,0,0,0,0
9762493,0.0,0.0,-0.0507503,0.0,0.999678,0.0,0.0,-0.0253724,0.0,-1.0,1,0,0,0,0,0,0
9862424,0.0,0.0,-0.0508645,0.0,0.999677,0.0,0.0,-0.0254295,0.0,-1.0,1,0,0,0,0,0,0
9964926,0.0,0.0,-0.0509927,0.0,0.999675,0.0,0.0,-0.0254936,0.0,-1.0,1,0,0,0,0,0,0
10064954,0.0,0.0,-0.0510946,0.0,0.999674,0.0,0.0,-0.0255445,0.0,-1.0,1,0,0,0,0,0,0
10169985,0.0,0.0,-0.0512156,0.0,0.999672,0.0,0.0,-0.025605,0.0,-1.0,1,0,0,0,0,0,0
10269951,0.0,0.0,-0.0512724,0.0,0.999671,0.0,0.0,-0.0256334,0.0,-1.0,1,0,0,0,0,0,0
10372427,0.0,0.0,-0.0509314,0.0,0.999676,0.0,0.0,-0.025463,0.0,-1.0,1,0,0,0,0,0,0
10472408,0.0,0.0,-0.0502226,0.0,0.999685,0.0,0.0,-0.0251087,0.0,-1.0,1,0,0,0,0,0,0
10572488,0.0,0.0,-0.0492295,0.0,0.999697,0.0,0.0,-0.0246123,0.0,-1.0,1,0,0,0,0,0,0
10675038,0.0,0.0,-0.0479568,0.0,0.999713,0.0,0.0,-0.0239761,0.0,-1.0,1,0,0,0,0,0,0
10777435,0.0,0.0,-0.0466498,0.0,0.999728,0.0,0.0,-0.0233228,0.0,-1.0,1,0,0,0,0,0,0
10879925,0.0,0.0,-0.045421,0.0,0.999742,0.0,0.0,-0.0227086,0.0,-1.0,1,0,0,0,0,0,0
10982376,0.0,0.0,-0.0440997,0.0,0.999757,0.0,0.0,-0.0220481,0.0,-1.0,1,0,0,0,0,0,0
11079933,0.0,0.0,-0.0429716,0.0,0.999769,0.0,0.0,-0.0214842,0.0,-1.0,1,0,0,0,0,0,0
11184712,0.0,0.0,-0.0417826,0.0,0.999782,0.0,0.0,-0.0208898,0.0,-1.0,1,0,0,0,0,0,0
11284726,0.0,0.0,-0.0407287,0.0,0.999793,0.0,0.0,-0.0203629,0.0,-1.0,1,0,0,0,0,0,0
11387238,0.0,0.0,-0.039612,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
11487237,0.0,0.0,-0.0385476,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
11589810,0.0,0.0,-0.0375705,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
11692219,0.0,0.0,-0.036582,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
11789750,0.0,0.0,-0.0356357,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
11894665,0.0,0.0,-0.0347006,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
11997266,0.0,0.0,-0.0337941,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
12094809,0.0,0.0,-0.0329334,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
12197212,0.0,0.0,-0.0320446,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
12297203,0.0,0.0,-0.0312316,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
12399742,0.0,0.0,-0.0304047,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
12504366,0.0,0.0,-0.0295827,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
12604366,0.0,0.0,-0.0287762,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
12706895,0.0,0.0,-0.028009,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
12806926,0.0,0.0,-0.0272624,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
12909357,0.0,0.0,-0.0265469,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
13009503,0.0,0.0,-0.0258728,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
13111879,0.0,0.0,-0.0251698,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
13214343,0.0,0.0,-0.0245132,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,1,0,0,0,0,0,0
13316969,-0.000100766,6.92331e-05,-0.0240167,0.0,0.999928,-4.99637e-05,3.52191e-05,-0.0120081,0.467352,-1.0,1,0,0,0,0,0,0
13416442,-0.000115955,2.92411e-05,-0.0237993,0.0,0.999929,-5.77994e-05,1.53094e-05,-0.0118994,0.479793,-1.0,1,0,0,0,0,0,0
13518094,-0.00011629,-1.88569e-05,-0.0237993,0.0,0.999929,-5.82528e-05,-8.73589e-06,-0.0118994,0.492599,-1.0,1,0,0,0,0,0,0
13618082,-0.00010799,-3.66926e-05,-0.0237993,0.0,0.999929,-5.42093e-05,-1.77025e-05,-0.0118994,0.505321,-1.0,1,0,0,0,0,0,0
13723035,-9.43655e-05,-2.5015e-05,-0.0237993,0.0,0.999929,-4.73283e-05,-1.19452e-05,-0.0118994,0.518356,-1.0,1,0,0,0,0,0,0
13820720,-7.905e-05,-1.54867e-05,-0.0237993,0.0,0.999929,-3.96144e-05,-7.27249e-06,-0.0118994,0.52956,-1.0,1,0,0,0,0,0,0
13925299,-7.5731e-05,-1.99498e-05,-0.0237993,0.0,0.999929,-3.79815e-05,-9.52362e-06,-0.0118994,0.540226,-1.0,1,0,0,0,0,0,0
14025251,-7.9105e-05,-1.22823e-05,-0.0237993,0.0,0.999929,-3.96228e-05,-5.67005e-06,-0.0118994,0.541933,-1.0,1,0,0,0,0,0,0
14125335,-9.12202e-05,1.59495e-05,-0.0237993,0.0,0.999929,-4.5512e-05,8.5169e-06,-0.0118994,0.536979,-1.0,1,0,0,0,0,0,0
14230340,-0.000104939,6.38089e-05,-0.0237993,0.0,0.999929,-5.20859e-05,3.25265e-05,-0.0118993,0.531524,-1.0,1,0,0,0,0,0,0
14330361,-0.000125749,0.000110739,-0.0237993,0.0,0.999929,-6.2211e-05,5.61138e-05,-0.0118993,0.526531,-1.0,1,0,0,0,0,0,0
